EmployeeNumber,Department,JobRole,Age,Gender,MonthlyIncome,YearsAtCompany,OverTime,JobSatisfaction,WorkLifeBalance,Attrition_Actual,Attrition_Prob,Risk_Score,Risk_Tier,salary_band
1494,Research & Development,Laboratory Technician,24,Male,3172,0,Yes,1,2,Yes,0.9954346,99.5,🔴 Critical,$3K-$6K
622,Research & Development,Laboratory Technician,26,Male,2340,1,Yes,4,1,Yes,0.99540377,99.5,🔴 Critical,< $3K
959,Sales,Sales Representative,19,Male,2121,1,Yes,2,4,Yes,0.99382365,99.4,🔴 Critical,< $3K
167,Sales,Sales Representative,19,Male,1675,0,Yes,3,2,Yes,0.9927008,99.3,🔴 Critical,< $3K
1944,Human Resources,Human Resources,27,Female,2863,1,No,2,3,Yes,0.9922782,99.2,🔴 Critical,< $3K
1427,Sales,Sales Representative,31,Female,1359,1,No,3,3,Yes,0.99002516,99.0,🔴 Critical,< $3K
19,Research & Development,Laboratory Technician,28,Male,2028,4,Yes,3,3,Yes,0.98849046,98.8,🔴 Critical,< $3K
911,Research & Development,Laboratory Technician,32,Male,2795,1,Yes,4,1,Yes,0.9881881,98.8,🔴 Critical,< $3K
1273,Sales,Sales Representative,25,Male,1118,1,Yes,4,3,Yes,0.98737025,98.7,🔴 Critical,< $3K
1624,Sales,Sales Representative,18,Female,1569,0,Yes,4,4,Yes,0.98632497,98.6,🔴 Critical,< $3K
1016,Research & Development,Research Scientist,20,Female,2600,1,Yes,1,3,Yes,0.9861944,98.6,🔴 Critical,< $3K
299,Sales,Sales Executive,30,Female,6696,6,No,1,2,Yes,0.9859524,98.6,🔴 Critical,$6K-$10K
614,Sales,Sales Representative,18,Male,1878,0,Yes,2,3,Yes,0.98469144,98.5,🔴 Critical,< $3K
478,Sales,Sales Representative,21,Female,2174,3,Yes,2,3,Yes,0.9841664,98.4,🔴 Critical,< $3K
1248,Research & Development,Research Scientist,19,Female,1859,1,Yes,2,4,Yes,0.98395455,98.4,🔴 Critical,< $3K
952,Sales,Sales Representative,25,Male,2413,1,Yes,2,3,Yes,0.9832864,98.3,🔴 Critical,< $3K
1878,Research & Development,Research Scientist,22,Male,2472,1,Yes,2,3,Yes,0.9829096,98.3,🔴 Critical,< $3K
1604,Research & Development,Laboratory Technician,28,Male,2408,1,Yes,2,3,Yes,0.98281187,98.3,🔴 Critical,< $3K
2023,Sales,Sales Representative,23,Male,1790,1,No,1,2,Yes,0.98252064,98.3,🔴 Critical,< $3K
1928,Sales,Sales Representative,29,Male,1091,1,No,1,3,Yes,0.98169506,98.2,🔴 Critical,< $3K
587,Research & Development,Healthcare Representative,31,Male,9824,1,No,3,3,Yes,0.9804545,98.0,🔴 Critical,$6K-$10K
1487,Sales,Sales Executive,29,Female,5765,5,No,2,1,Yes,0.980414,98.0,🔴 Critical,$3K-$6K
55,Research & Development,Laboratory Technician,26,Male,2293,1,No,3,2,Yes,0.9795492,98.0,🔴 Critical,< $3K
33,Research & Development,Research Scientist,32,Female,3919,10,Yes,1,3,Yes,0.9794596,97.9,🔴 Critical,$3K-$6K
1868,Research & Development,Research Scientist,29,Male,2439,1,Yes,4,2,Yes,0.97852534,97.9,🔴 Critical,< $3K
1108,Research & Development,Research Scientist,33,Male,2313,2,Yes,2,3,Yes,0.97820914,97.8,🔴 Critical,< $3K
1844,Human Resources,Human Resources,29,Male,2335,2,Yes,1,3,Yes,0.97774863,97.8,🔴 Critical,< $3K
1079,Research & Development,Laboratory Technician,21,Female,1416,1,No,1,2,Yes,0.9765919,97.7,🔴 Critical,< $3K
1569,Research & Development,Laboratory Technician,35,Female,2074,1,Yes,1,3,Yes,0.97589976,97.6,🔴 Critical,< $3K
1004,Research & Development,Research Scientist,30,Female,2132,5,Yes,3,3,Yes,0.97568965,97.6,🔴 Critical,< $3K
1319,Sales,Sales Executive,52,Male,8446,8,Yes,2,2,Yes,0.9747063,97.5,🔴 Critical,$6K-$10K
454,Research & Development,Laboratory Technician,29,Male,2119,7,Yes,1,2,Yes,0.9745044,97.5,🔴 Critical,< $3K
648,Sales,Sales Representative,30,Male,2033,1,No,1,4,Yes,0.974393,97.4,🔴 Critical,< $3K
1504,Research & Development,Laboratory Technician,28,Male,2561,0,No,1,2,Yes,0.9737979,97.4,🔴 Critical,< $3K
1758,Sales,Sales Executive,33,Female,8564,0,Yes,1,2,Yes,0.9737327,97.4,🔴 Critical,$6K-$10K
816,Research & Development,Laboratory Technician,29,Female,2319,1,Yes,1,3,Yes,0.97313935,97.3,🔴 Critical,< $3K
1862,Sales,Sales Executive,32,Male,9907,2,Yes,2,2,Yes,0.9727312,97.3,🔴 Critical,$6K-$10K
392,Research & Development,Laboratory Technician,44,Male,3161,1,Yes,3,1,Yes,0.97094506,97.1,🔴 Critical,$3K-$6K
1458,Research & Development,Laboratory Technician,39,Female,3646,1,Yes,1,4,Yes,0.9702867,97.0,🔴 Critical,$3K-$6K
514,Research & Development,Research Scientist,30,Male,2285,1,Yes,4,3,Yes,0.96959573,97.0,🔴 Critical,< $3K
741,Research & Development,Research Scientist,28,Female,2216,7,Yes,2,3,Yes,0.9684134,96.8,🔴 Critical,< $3K
811,Research & Development,Laboratory Technician,23,Male,1601,0,Yes,1,3,Yes,0.9681273,96.8,🔴 Critical,< $3K
1716,Sales,Sales Executive,47,Male,12936,23,No,3,1,Yes,0.96716446,96.7,🔴 Critical,> $10K
137,Research & Development,Laboratory Technician,20,Female,2926,1,Yes,4,3,Yes,0.96627665,96.6,🔴 Critical,< $3K
1331,Sales,Sales Representative,31,Female,2302,3,Yes,2,4,Yes,0.96624005,96.6,🔴 Critical,< $3K
970,Sales,Sales Executive,37,Male,10609,14,No,3,1,Yes,0.96590215,96.6,🔴 Critical,> $10K
1464,Research & Development,Laboratory Technician,31,Male,3722,2,Yes,4,1,Yes,0.9631781,96.3,🔴 Critical,$3K-$6K
881,Research & Development,Research Scientist,35,Female,2022,10,Yes,2,2,Yes,0.9630987,96.3,🔴 Critical,< $3K
325,Research & Development,Laboratory Technician,33,Male,2436,5,Yes,4,1,Yes,0.96282876,96.3,🔴 Critical,< $3K
960,Research & Development,Laboratory Technician,20,Male,2973,1,No,1,3,Yes,0.9624862,96.2,🔴 Critical,< $3K
485,Sales,Sales Representative,33,Female,2851,1,Yes,3,3,Yes,0.96217465,96.2,🔴 Critical,< $3K
608,Human Resources,Human Resources,26,Female,2741,7,Yes,3,2,Yes,0.96130645,96.1,🔴 Critical,< $3K
1372,Sales,Sales Executive,55,Male,13695,19,Yes,3,2,Yes,0.9611549,96.1,🔴 Critical,> $10K
235,Sales,Sales Representative,19,Female,2325,0,No,1,4,Yes,0.9611537,96.1,🔴 Critical,< $3K
1053,Research & Development,Research Scientist,26,Male,2042,3,Yes,1,3,Yes,0.96084577,96.1,🔴 Critical,< $3K
190,Research & Development,Laboratory Technician,32,Female,4200,5,No,1,4,Yes,0.95905733,95.9,🔴 Critical,$3K-$6K
1405,Research & Development,Research Scientist,27,Female,2394,8,Yes,3,3,Yes,0.9583859,95.8,🔴 Critical,< $3K
1279,Research & Development,Laboratory Technician,21,Female,2625,2,No,3,1,Yes,0.95789003,95.8,🔴 Critical,< $3K
163,Sales,Sales Executive,31,Male,6172,7,Yes,3,2,Yes,0.9577272,95.8,🔴 Critical,$6K-$10K
1968,Sales,Sales Executive,53,Male,10448,2,Yes,1,2,Yes,0.95740104,95.7,🔴 Critical,> $10K
1933,Sales,Sales Executive,28,Female,9854,2,Yes,3,3,Yes,0.9568528,95.7,🔴 Critical,$6K-$10K
1783,Research & Development,Laboratory Technician,22,Female,2398,1,Yes,1,3,Yes,0.955809,95.6,🔴 Critical,< $3K
1905,Research & Development,Research Scientist,34,Male,2307,5,Yes,1,3,Yes,0.95506305,95.5,🔴 Critical,< $3K
261,Research & Development,Manufacturing Director,35,Male,5916,1,Yes,3,3,Yes,0.9545509,95.5,🔴 Critical,$3K-$6K
